Yield,Treatments,Moisture,Repetition,Interaction
85,g1,m1,r1,m1g1
80,g2,m1,r1,m1g2
80,g3,m1,r1,m1g3
85,g4,m1,r1,m1g4
90,g5,m1,r1,m1g5
90,g6,m1,r1,m1g6
85,g7,m1,r1,m1g7
90,g8,m1,r1,m1g8
50,g1,m2,r1,m2g1
50,g2,m2,r1,m2g2
45,g3,m2,r1,m2g3
50,g4,m2,r1,m2g4
55,g5,m2,r1,m2g5
75,g6,m2,r1,m2g6
85,g7,m2,r1,m2g7
90,g8,m2,r1,m2g8
90,g1,m1,r2,m1g1
75,g2,m1,r2,m1g2
85,g3,m1,r2,m1g3
75,g4,m1,r2,m1g4
80,g5,m1,r2,m1g5
95,g6,m1,r2,m1g6
75,g7,m1,r2,m1g7
80,g8,m1,r2,m1g8
40,g1,m2,r2,m2g1
40,g2,m2,r2,m2g2
55,g3,m2,r2,m2g3
45,g4,m2,r2,m2g4
45,g5,m2,r2,m2g5
80,g6,m2,r2,m2g6
75,g7,m2,r2,m2g7
80,g8,m2,r2,m2g8
85,g1,m1,r3,m1g1
75,g2,m1,r3,m1g2
80,g3,m1,r3,m1g3
70,g4,m1,r3,m1g4
85,g5,m1,r3,m1g5
90,g6,m1,r3,m1g6
70,g7,m1,r3,m1g7
85,g8,m1,r3,m1g8
50,g1,m2,r3,m2g1
25,g2,m2,r3,m2g2
45,g3,m2,r3,m2g3
55,g4,m2,r3,m2g4
40,g5,m2,r3,m2g5
75,g6,m2,r3,m2g6
70,g7,m2,r3,m2g7
85,g8,m2,r3,m2g8
86,g1,m1,r4,m1g1
75,g2,m1,r4,m1g2
81,g3,m1,r4,m1g3
72,g4,m1,r4,m1g4
80,g5,m1,r4,m1g5
91,g6,m1,r4,m1g6
72,g7,m1,r4,m1g7
84,g8,m1,r4,m1g8
51,g1,m2,r4,m2g1
58,g2,m2,r4,m2g2
48,g3,m2,r4,m2g3
53,g4,m2,r4,m2g4
56,g5,m2,r4,m2g5
76,g6,m2,r4,m2g6
88,g7,m2,r4,m2g7
92,g8,m2,r4,m2g8
